UniqueIDN,LAT,LON,PlantType,FuelType,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour,PLCO2RTA_total
55062_G_GTG1,30.5924,-95.9178,Combined Cycle,NaturalGas,155.0,0.0,0,0.0,0.0
55062_G_GTG2,30.5924,-95.9178,Combined Cycle,NaturalGas,155.0,0.0,0,0.0,0.0
55062_G_GTG3,30.5924,-95.9178,Combined Cycle,NaturalGas,155.0,0.0,0,0.0,0.0
55062_G_STG1,30.5924,-95.9178,Combined Cycle,NaturalGas,395.0,0.0,0,0.0,0.0
55132_G_GTG1,32.017826,-94.619743,Combined Cycle,NaturalGas,148.0,0.0,0,0.0,0.0
55132_G_GTG2,32.017826,-94.619743,Combined Cycle,NaturalGas,149.0,0.0,0,0.0,0.0
55132_G_GTG3,32.017826,-94.619743,Combined Cycle,NaturalGas,150.0,0.0,0,0.0,0.0
55132_G_STG1,32.017826,-94.619743,Combined Cycle,NaturalGas,398.0,0.0,0,0.0,0.0
54338_B_1,26.269683,-97.867012,Biomass,Biomass,3.5,2520.0,720,3.5,52405.92
54338_B_2,26.269683,-97.867012,Biomass,Biomass,3.5,2520.0,720,3.5,52405.92
54338_B_3,26.269683,-97.867012,Biomass,Biomass,3.5,2520.0,720,3.5,52405.92
54338_B_4,26.269683,-97.867012,Biomass,Biomass,3.5,2520.0,720,3.5,52405.92
54338_B_6,26.269683,-97.867012,Biomass,Biomass,3.5,2520.0,720,3.5,52405.92
55708_B_BLR1,31.832132,-94.90064,Biomass,Biomass,100.0,72000.0,720,100.0,60526800.0
6183_B_SM-1,28.7044,-98.4775,Coal Steam,Coal,391.0,0.0,0,0.0,0.0
298_B_LIM1,31.4219,-96.2525,Coal Steam,Coal,831.0,0.0,0,0.0,0.0
298_B_LIM2,31.4219,-96.2525,Coal Steam,Coal,858.0,0.0,0,0.0,0.0
3470_B_WAP5,29.4828,-95.6311,Coal Steam,Coal,659.0,0.0,0,0.0,0.0
3470_B_WAP6,29.4828,-95.6311,Coal Steam,Coal,653.0,0.0,0,0.0,0.0
3470_B_WAP7,29.4828,-95.6311,Coal Steam,Coal,577.0,0.0,0,0.0,0.0
3470_B_WAP8,29.4828,-95.6311,Coal Steam,Coal,610.0,0.0,0,0.0,0.0
6146_B_1,32.2606,-94.5706,Coal Steam,Coal,800.0,0.0,0,0.0,0.0
6146_B_2,32.2606,-94.5706,Coal Steam,Coal,805.0,0.0,0,0.0,0.0
6146_B_3,32.2606,-94.5706,Coal Steam,Coal,805.0,0.0,0,0.0,0.0
6178_B_1,28.7128,-97.214167,Coal Steam,Coal,635.0,0.0,0,0.0,0.0
6179_B_1,29.9172,-96.7506,Coal Steam,Coal,590.0,0.0,0,0.0,0.0
6179_B_2,29.9172,-96.7506,Coal Steam,Coal,590.0,0.0,0,0.0,0.0
6179_B_3,29.9172,-96.7506,Coal Steam,Coal,435.0,0.0,0,0.0,0.0
6180_B_1,31.1803,-96.4866,Coal Steam,Coal,840.0,0.0,0,0.0,0.0
6180_B_2,31.1803,-96.4866,Coal Steam,Coal,825.0,0.0,0,0.0,0.0
7030_B_U1,31.091925,-96.69503,Coal Steam,Coal,152.0,0.0,0,0.0,0.0
7030_B_U2,31.091925,-96.69503,Coal Steam,Coal,153.0,0.0,0,0.0,0.0
7097_B_BLR1,29.309722,-98.3203,Coal Steam,Coal,560.0,0.0,0,0.0,0.0
7097_B_BLR2,29.309722,-98.3203,Coal Steam,Coal,785.0,0.0,0,0.0,0.0
10167_G_GEN1,28.513929,-96.794154,Coal Steam,Coal,7.6,5059529.115651727,686,7375.406874127882,8236751495.349311
56611_B_S01,31.474378,-96.957149,Coal Steam,Coal,940.0,0.0,0,0.0,0.0
10554_G_BO3,28.6917,-96.5417,Combined Cycle,NaturalGas,32.0,23039.999999999996,720,31.999999999999996,14168194.559999997
10554_G_ST1,28.6917,-96.5417,Combined Cycle,NaturalGas,28.5,20519.999999999996,720,28.499999999999996,12618548.279999997
10554_G_ST2,28.6917,-96.5417,Combined Cycle,NaturalGas,57.5,41399.99999999999,720,57.49999999999999,25458474.599999994
10554_G_ST3,28.6917,-96.5417,Combined Cycle,NaturalGas,47.3,34055.99999999972,720,47.29999999999961,20942362.583999828
10554_G_TBG1,28.6917,-96.5417,Combined Cycle,NaturalGas,72.0,51839.99999999999,720,71.99999999999999,31878437.759999994
10554_G_TBG2,28.6917,-96.5417,Combined Cycle,NaturalGas,72.0,51839.99999999999,720,71.99999999999999,31878437.759999994
10554_G_TBG3,28.6917,-96.5417,Combined Cycle,NaturalGas,72.0,51839.99999999999,720,71.99999999999999,31878437.759999994
10554_G_TBG4,28.6917,-96.5417,Combined Cycle,NaturalGas,72.0,51839.99999999999,720,71.99999999999999,31878437.759999994
10554_G_TBG5,28.6917,-96.5417,Combined Cycle,NaturalGas,72.0,51839.99999999999,720,71.99999999999999,31878437.759999994
10554_G_TBG6,28.6917,-96.5417,Combined Cycle,NaturalGas,72.0,51839.99999999999,720,71.99999999999999,31878437.759999994
52088_G_GEN1,29.378697,-94.943829,Combined Cycle,NaturalGas,139.0,100079.99999999999,720,138.99999999999997,53146683.35999999
52088_G_GEN2,29.378697,-94.943829,Combined Cycle,NaturalGas,104.0,74879.99999999999,720,103.99999999999999,39764424.95999999
52088_G_GEN3,29.378697,-94.943829,Combined Cycle,NaturalGas,104.0,74879.99999999999,720,103.99999999999999,39764424.95999999
52088_G_GEN4,29.378697,-94.943829,Combined Cycle,NaturalGas,104.0,74879.99999999999,720,103.99999999999999,39764424.95999999
55047_G_STG1,29.72475,-95.176479,Combined Cycle,NaturalGas,60.0,43199.99999999999,720,59.99999999999999,37603137.599999994
55086_G_GT1A,27.88929,-97.258417,Combined Cycle,NaturalGas,141.0,101519.99999999999,720,140.99999999999997,109512365.03999999
55086_G_GT1B,27.88929,-97.258417,Combined Cycle,NaturalGas,140.0,100799.99999999999,720,139.99999999999997,108735681.6
55086_G_STG,27.88929,-97.258417,Combined Cycle,NaturalGas,85.0,61199.99999999999,720,84.99999999999999,66018092.4
55187_G_GT1,29.836952,-95.121744,Combined Cycle,NaturalGas,169.0,121679.99999999999,720,168.99999999999997,82803118.32
55187_G_GT2,29.836952,-95.121744,Combined Cycle,NaturalGas,165.0,118799.99999999999,720,164.99999999999997,80843281.19999999
55187_G_GT3,29.836952,-95.121744,Combined Cycle,NaturalGas,165.0,118799.99999999999,720,164.99999999999997,80843281.19999999
55187_G_GT4,29.836952,-95.121744,Combined Cycle,NaturalGas,167.0,120239.99999999999,720,166.99999999999997,81823199.75999999
55187_G_ST1,29.836952,-95.121744,Combined Cycle,NaturalGas,144.0,103679.99999999999,720,143.99999999999997,70554136.32
55299_G_CTG1,29.7189,-95.2319,Combined Cycle,NaturalGas,185.0,133199.99999999997,720,184.99999999999997,80236216.79999998
55299_G_CTG2,29.7189,-95.2319,Combined Cycle,NaturalGas,185.0,133199.99999999997,720,184.99999999999997,80236216.79999998
55299_G_CTG3,29.7189,-95.2319,Combined Cycle,NaturalGas,183.0,131759.99999999997,720,182.99999999999997,79368798.23999998
