LAT,LON,PlantType,PLCO2RTA_total,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour
24.563333,-81.7342,Combustion Turbine,0.0,114.5,0.0,0,0.0
24.710833,-81.0927,Combustion Turbine,0.0,11.0,0.0,0,0.0
25.4356,-80.3308,Combined Cycle,106921439.74371746,1147.0,467134.31784854364,2668,205.25694753159695
25.4356,-80.3308,Nuclear,0.0,1604.0,1156484.0,1442,802.0
25.4756,-80.47,Combustion Turbine,0.0,32.6,0.0,0,0.0
25.770008,-80.367743,Solar PV,0.0,0.8,107.39966903140528,300,0.35799889677135094
25.7915,-80.3838,Solar PV,0.0,1.0,134.2495862892566,300,0.4474986209641887
25.8356,-80.3566,Municipal Solid Waste,144797796.67359817,71.6,51623.599999999344,2884,17.89999999999977
25.9131,-97.5214,Combined Cycle,44449276.7479982,62.0,31495.58399077026,783,30.786967667502097
25.9131,-97.5214,Combustion Turbine,11244391.39989851,53.0,7967.478880891974,2405,4.047381595035765
26.0686,-80.1984,Combustion Turbine,61042590.85960081,1223.6,49460.60000000066,2884,7.622222222222323
26.0687,-80.1986,Municipal Solid Waste,84168105.21000001,54.0,38934.00000000001,2163,18.000000000000004
26.0856,-80.1253,Combined Cycle,62537502.437819704,1260.0,82301.13157102173,308,303.6643555913089
26.125979,-97.377599,Onshore Wind,0.0,95.3,30210.14012282931,721,41.900333041372136
26.155833,-81.658055,Landfill Gas,0.0,4.0,2884.0000000000073,3605,0.8000000000000019
26.195278,-97.466111,Onshore Wind,0.0,165.0,52305.069467647816,721,72.54517263196645
26.269683,-97.867012,Biomass,262393.52999999997,17.5,12617.5,3605,3.5
26.269683,-97.867012,Combustion Turbine,0.0,1.4,0.0,0,0.0
26.287966,-80.166526,Landfill Gas,7.858900000000104,10.9,7858.900000000103,2884,2.725000000000036
26.33072,-97.5857,Onshore Wind,0.0,200.0,63400.084203209466,721,87.93354258420176
26.3403,-98.19,Combined Cycle,0.0,682.0,0.0,0,0.0
26.34892,-97.6668,Onshore Wind,0.0,201.6,63907.28487683519,721,88.63701092487544
26.380556,-98.818333,Onshore Wind,0.0,200.0,63400.084203209466,721,87.93354258420176
26.388611,-98.806111,Onshore Wind,0.0,200.0,63400.084203209466,721,87.93354258420176
26.396691060140423,-98.18138763773901,Combined Cycle,4895562.782765861,470.0,5702.19348132417,41,92.65322541937996
26.411689,-98.571554,Onshore Wind,0.0,110.0,34870.04631176522,721,48.363448421310984
26.451111,-98.1775,Combustion Turbine,84342376.7966991,219.60000000000002,80721.29999999916,4411,12.199999999999902
26.465556,-98.411111,Onshore Wind,0.0,250.0,79250.10525401184,721,109.91692823025221
26.475278,-97.691111,Onshore Wind,0.0,203.0,64351.08546625759,721,89.25254572296475
26.522222,-97.691111,Onshore Wind,0.0,228.0,72276.09599165886,721,100.2442385459901
26.553703555028367,-81.16537524041537,Biomass,5540887.884000001,12.0,8652.0,721,12.0
26.5769,-80.7469,Biomass,5078669.925,105.0,75705.0,2163,35.0
26.612767,-80.0677,Combined Cycle,1577562.42,30.0,21630.0,1442,15.0
26.612767,-80.0677,Combustion Turbine,1401732.5092774436,36.0,19219.191450865765,1151,5.250371028809621
26.612767,-80.0677,O/G Steam,0.0,22.0,0.0,0,0.0
26.631549,-81.760656,Municipal Solid Waste,76932682.75,55.0,39655.00000000001,2163,18.33333333333334
26.692646,-81.324953,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
26.6967,-81.7831,Combined Cycle,647442103.3920001,1435.0,772912.0,5047,134.0
26.6967,-81.7831,Combustion Turbine,12525493.920237118,778.0,14952.849847358157,172,43.46758676557604
26.6986,-80.3747,Combined Cycle,387165046.6025242,3669.0,500769.6492259154,2239,293.9172551359832
26.7351,-80.9377,Biomass,62083.50749999938,44.5,32084.499999999676,3605,8.89999999999991
26.7653,-80.0525,Combined Cycle,73066621.09330711,1212.0,97317.96635509862,402,294.74965991422096
26.771389,-80.141944,Municipal Solid Waste,69648455.80000001,50.0,36050.00000000001,1442,25.000000000000004
26.772439,-80.141815,Municipal Solid Waste,110824428.372,84.0,60564.0,2163,28.0
26.790833,-81.965278,Landfill Gas,0.0,2.8,2018.799999999977,1442,1.3999999999999841
26.861592,-81.751011,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
27.0011,-97.5994,Onshore Wind,0.0,283.2,89774.51923174462,721,124.51389629922971
27.022112,-97.498478,Onshore Wind,0.0,201.6,63907.28487683519,721,88.63701092487544
27.0536,-80.5628,Combined Cycle,963590301.8185543,2042.0,1147623.1501816902,7118,146.6651110186415
27.122529,-97.557372,Onshore Wind,0.0,201.0,63717.084624225456,721,88.37321029712268
27.18,-98.916667,Onshore Wind,0.0,78.0,24726.032839251708,721,34.294081607838706
27.184652,-97.59818,Onshore Wind,0.0,188.0,59596.0791510169,721,82.65753002914965
27.203,-82.387,Landfill Gas,0.0,4.800000000000001,3460.8000000000084,2163,1.6000000000000039
27.237778,-80.541389,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
27.316187,-81.783899,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
27.32,-99.0,Onshore Wind,0.0,249.7,79155.00512770697,721,109.78502791637582
27.320919,-81.806863,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
27.3232,-81.8019,Solar PV,0.0,25.0,3356.239657231415,300,11.187465524104717
27.348611,-80.246389,Nuclear,0.0,1968.0,1418928.0,1442,984.0
27.383889,-80.3775,Combined Cycle,201949438.06800002,318.0,229278.0,1442,159.0
27.44,-98.91,Onshore Wind,0.0,200.0,63400.084203209466,721,87.93354258420176
27.468889,-82.450833,Landfill Gas,0.0,1.6,1153.6000000000029,721,1.6000000000000039
27.483358,-82.548341,Combustion Turbine,0.0,31.0,0.0,0,0.0
